TAG attribution location,TAG citation group,citation group,TAG confidence,TAG data cited,TAG dataset reused,TAG other,TAG problem,TAG repository,TAG source,abstract,address,annote,booktitle,dataset_id,doi,file,institution,isbn,issn,journal,keywords,mendeley-tags,month,number,pages,pmid,publisher,school,title,type,url,volume,year,num_cites,weighted,annotated,duplicates
,citation group 10-30, 10-30,high confidence,,dataset not reused,,,TreeBase,WoS,"Based on nucleotide sequences from three chloroplast DNA regions (rps16, rpl16, trnT-TrnL), we infer detailed phylogenetic relationships within the subfamily Thunbergioideae (Acanthaceae) and among major lineages of the family as a whole. Taxa were smapled to cover the geographic distribution of Thunbergioideae and to include all subgenera of the largest genus Thunbergia. All other major lineages of Acanthaceas were sampled to test monophyly and intrafamilial position of Thunbergioideas. Both parsimony and Bayesian analyses support Thunbergioideae as monophyletic. The mangrove genus Avicennia is Consistently placed as sister to Thunbergioideae although with only moderate support. Thumbergia and Mendoncia are both monophyletic in all analyses, and Mendoncia is placed as sister to Thunbergia plus Pseudocalyx. Relationships within the two largest genera Mendoncia and Thunbergia are highly resolved and most branches are strongly supported. our results suggest that the existing morphology-based classification of Thunbergia partially holds, but needs revision. Based oil the phylogenetic relationships we found it likely that a twining habit is ancestral for the genus Thunbergia. The thecal awns, Characteristic for many species in the genus, have probably evolved from unicellular bristles. Longitudinal dehiscence over the whole length of the thecae, which is present in many Thunbergia species, most likely evolved from short slits or pores as present in Pseudocalyx and Mendonica.","[Borg, Agneta Julia; Schonenberger, Jurg] Stockholm Univ, Dept Bot, S-10691 Stockholm, Sweden; [McDade, Lucinda A.] Rancho Santa Ana Bot Garden, Claremont, CA 91711 USA; VIENNA; C/O UNIV VIENNA, INST BOTANY, RENNWEG 14, A-1030 VIENNA, AUSTRIA","; data\_id:S1358; data\_collection\_article:Mcdade L., Daniel T., Kiel C., \& Vollesen K. 2005. Phylogenetic Relationships Among Acantheae (Acanthaceae): Major Lineages Present Contrasting Patterns of Molecular Evolution and Morphological Differentiation. Systematic Botany, 30(4): 834.",,S1358,,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Taxon/Borg, McDade, Schonenberger/Borg, McDade, Schonenberger - 2008 - 10009\_10-30Molecular phylogenetics and morphological evolution of Thunbergioideae (Acanthaceae).pdf:pdf",,,ISI:000258974600012,Taxon,"Acanthaceae,Article,TreeBase,WoS,chloroplast DNA,citation group 10-30,dataset not reused,high confidence,morphology,same author","TreeBase,WoS,citation group 10-30,dataset not reused,high confidence,same author",August,3,811,,INT ASSOC PLANT TAXONOMY,,{\^{}\^{}10009\_10-30\^{}\^{}Molecular phylogenetics and morphological evolution of Thunbergioideae (Acanthaceae)},,,57,2008,14,14.08695652,1,
,citation group 1-3, 1-3,high confidence,,dataset not reused,,,TreeBase,WoS,"Inocybe tauensis is described as a new species from the island of Ta'u, American Samoa. The species occurs in native littoral forest and is associated with the ectomycorrhizal tree Pisonia grandis. Based on an analysis of nLSU, RPB1, and RPB2 sequence data, I. tauensis appears to be derived from ancestors with a Paleotropical biogeographical distribution. Alternative explanations for the unexpected presence of an Inocybe species in the Samoan Archipelago are discussed. (C) 2010 The British Mycological Society. Published by Elsevier Ltd. All rights reserved.","[Kropp, Bradley R.] Utah State Univ, Dept Biol, Logan, UT 84322 USA; [Albee-Scott, Steven] Utah State Univ, Dept Biol, Intermt Herbarium, Logan, UT 84322 USA; OXFORD; THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","; data\_id:S1360; data\_collection\_article:Matheny, P.B. and N.L. Bougher, 2005. The new genus Auritella from Africa and Australia (Inocybaceae, Agaricales): molecular systematics, taxonomy and historical biogeography. Australasian Mycolog, 24: 7.",,S1360,10.1016/j.funbio.2010.07.005,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Fungal Biol./Kropp, Albee-Scott/Kropp, Albee-Scott - 2010 - 10008\_1-3Inocybe tauensis, a new species from the Samoan Archipelago with biogeographic evidence for a Paleotropical origin.pdf:pdf",,,ISI:000282348500010,Fungal Biol.,"Agaricales,Article,Biogeography,Inocybaceae,Nu,TreeBase,WoS,citation group 1-3,dataset not reused,high confidence","TreeBase,WoS,citation group 1-3,dataset not reused,high confidence",September,9,790,,ELSEVIER SCI LTD,,"{\^{}\^{}10008\_1-3\^{}\^{}Inocybe tauensis, a new species from the Samoan Archipelago with biogeographic evidence for a Paleotropical origin}",,http://dx.doi.org/10.1016/j.funbio.2010.07.005,114,2010,2,14.08695652,1,
,citation group 1-3, 1-3,high confidence,,dataset not reused,,,TreeBase,WoS,"Carbamazepine, which has been used in the treatments of epilepsy, is often found in the environment. Although metabolism of carbamazepine by humans and rats has been characterized, the environmental fate of carbamazepine has not been studied. In this study, two model fungi Cunninghamella elegans ATCC 9245 and Umbelopsis ramanniana R-56, which have previously shown diverse metabolic activities, were tested for metabolism of carbamazepine. Both fungi produced three metabolites each (C1-C3 and M1-M3). All six metabolites showed [M + H](+) at m/z 253, suggesting addition of one oxygen to the parent compound. High-performance liquid chromatography and liquid chromatography-mass spectrometric analysis detected 10, 11-dihydro-10, 11-epoxycarbamazepine as a major product (C3 (47\%) and M3 (85\%)) and 3-hydroxycarbamazepine (C2 (15\%) and M2 (7\%)) from carbamazepine through mixed mono-oxidation reactions in both fungal strains. C. elegans was confirmed to produce 2-hydroxycarbamazepine (C1 (38\%)) while U. ramanniana produced a yet unidentified ring-hydroxylated metabolite (M1 (8\%)). The current study suggests that carbamazepine is likely to be subjected to initially diverse mono-oxygenation reactions by fungal metabolisms, resulting in the formation of the corresponding metabolites, which were similarly found in mammalian metabolisms.","[Kang, Su-Il; Kang, Seo-Young; Hur, Hor-Gil] Gwangju Inst Sci \& Technol, Int Environm Res Ctr, Kwangju 500712, South Korea; [Hur, Hor-Gil] Gwangju Inst Sci \& Technol, Dept Environm Sci \& Engn, Kwangju 500712, South Korea; NEW YORK; 233 SPRING ST, NEW YORK","; data\_id:S1362; data\_collection\_article:Ogawa Y., Suda A., Kusama-eguchi K., Watanabe K., \& Tokumasu S. 2005. Intraspecific groups of Umbelopsis ramanniana inferred from nucleotide sequences of nuclear rDNA internal transcribed spacer regions and sporangiospore morphology. Mycoscience, 46: 343.",,S1362,10.1007/s00253-008-1459-5,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Appl. Microbiol. Biotechnol./Kang, Kang, Hur/Kang, Kang, Hur - 2008 - 10016\_1-3Identification of fungal metabolites of anticonvulsant drug carbamazepine.pdf:pdf",,,ISI:000256338100017,Appl. Microbiol. Biotechnol.,"Article,Cunninghamella elegans,TreeBase,Um,WoS,carbamazepine,citation group 1-3,dataset not reused,high confidence","TreeBase,WoS,citation group 1-3,dataset not reused,high confidence",June,4,663,,SPRINGER,,{\^{}\^{}10016\_1-3\^{}\^{}Identification of fungal metabolites of anticonvulsant drug carbamazepine},,http://dx.doi.org/10.1007/s00253-008-1459-5,79,2008,2,14.08695652,1,
,citation group 1-3, 1-3,high confidence,,dataset not reused,,,TreeBase,WoS,"White root rot is a serious soil-borne disease of several woods and crops. Recently, white root rot of tea shrubs and ornamental trees has increasingly been observed in Taiwan. Thirty-six isolates of white root rot pathogen, showing pear-shape swellings adjacent to the hyphal septa, had been isolated from samples of white root rot collected from Taiwan for about 4 years. The pathogen isolates produced Dematophora anamorph. Conidia of the pathogen were one-celled, hyaline, subglobal, with truncate base, 2.9-5.8 x 1.9-3.5 mu M. Ascospore dimensions were in the range of 37.0-55.0 x 5.4-7.9 mu M with a short, longitudinal and straight germ slit, which complied with Rosellinia necatrix. Based on molecular studies, the pathogen isolates collected from Taiwan except R701 were identified as R. nectarix. Isolate R701, which was relatively polymorphic in internal transcribed spacer DNA sequence than other isolates, was temporarily considered as R. necatrix-related pathogenic Rosellinia spp. All the tea cuttings (Camellia sinensis) inoculated with isolates developed typical white root rot symptoms. Pathogenicity tests demonstrated the presence of variation in virulence among the Rosellina isolates. Most of the R. necatrix isolates originating from Acer morrisonense were less virulent than those that originated from other hosts. The pathogenic Rosellinia spp., isolate R701, was also highly virulent to both cultivars of tea cuttings.","[Sun, E. -J.; Lin, H. -S.; Hsieh, H. -J.] Natl Taiwan Univ, Dept Plant Pathol \& Microbiol, Taipei 10764, Taiwan; OXFORD; 9600 GARSINGTON RD, OXFORD OX4 2DQ, OXON, ENGLAND","; data\_id:S1362; data\_collection\_article:Ogawa Y., Suda A., Kusama-eguchi K., Watanabe K., \& Tokumasu S. 2005. Intraspecific groups of Umbelopsis ramanniana inferred from nucleotide sequences of nuclear rDNA internal transcribed spacer regions and sporangiospore morphology. Mycoscience, 46: 343.",,S1362,10.1111/j.1439-0434.2007.01326.x,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/J. Phytopathol./Sun, Lin, Hsieh/Sun, Lin, Hsieh - 2008 - 10014\_1-3Study on Rosellinia necatrix isolates causing white root rot disease in Taiwan.pdf:pdf",,,ISI:000252323500008,J. Phytopathol.,"Article,Rosellinia necatrix,TreeBase,WoS,citation group 1-3,dataset not reused,high confidence,morp,white root rot","TreeBase,WoS,citation group 1-3,dataset not reused,high confidence",February,2,104,,BLACKWELL PUBLISHING,,{\^{}\^{}10014\_1-3\^{}\^{}Study on Rosellinia necatrix isolates causing white root rot disease in Taiwan},,http://dx.doi.org/10.1111/j.1439-0434.2007.01326.x,156,2008,2,14.08695652,1,
,citation group 3-10, 3-10,high confidence,,dataset not reused,,,TreeBase,WoS,"Twenty-six type specimens of corticioid basidiomycetes in the genera Corticium, Cytidia, Grandinia, Hydnum, Kneiffia, Merulius, Odontia, Peniophora and Radulum described by Bresadola, alone or with others, were examined. The new taxon, Phlebia cryptocystidiata, is described and illustrated, and an epitype for Hydnum flacicans is designated. Ten new combinations are proposed: Cristinia eichleri, Dendrothele crustulina, Hyphoderma crustulinum, Hyphodermella rosae, Keiffiella stereicola, Odonticium flavicans, Phanerochaete queletii, Resupinatus stictoideus, Seytinostroma quintasianum. and Thujacorticium zurhansenii. The follwing thirteen taxa were found to be synonyms; Corticium aureolum (= Cerocorticium molle). Corticium leprosum (= Ramaricium polyporoideum), Corticium Hoydii (= Phanerochaete burtii), Corticium luteum (= Intextomyces contiquus), Grandinia schweinitzii (= Radulomyces cremoricolor), Kneiffifragulae (= Cylindrobasidium evolvens). Odontia brassicicola (= Sistotrema brinkmannii), Odontia cremorina (= Hyphodontia bugellensis), Odontia pannosa (= Hyphodermella corrugata), Odontia torrendii (= Dentipellis leptodon), and Peniophora subcremea ochroleucum (= Mycorrhaphium sp.) Merulius fuscescens. Merulius tessellatus (Sclerodermatineae or Paxillineae), and Odontia lilacina (= Grammothele sp).","US Forest Serv, USDA, No Res Stn, Ctr Forest Mycol Res, Madison, WI 53726 USA; PARIS; 12 RUE DE BUFFON, 75005 PARIS, FRANCE","; data\_id:S1363; data\_collection\_article:Thorn R., Moncalvo J., Redhead S., Lodge D., \& Martin M. 2005. A new poroid species of Resupinatus from Puerto Rico, with a reassessment of the cyphelloid genus Stigmatolemma. Mycologia, 97: p.1140.",,S1363,,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Cryptogam. Mycol./Nakasone/Nakasone - 2008 - 10026\_3-10Type studies of corticioid Hymenomycetes described by Bresadola.pdf:pdf,,,ISI:000260387700003,Cryptogam. Mycol.,"Article,Corticium crustulinum,Corticium queletii,TreeBase,WoS,citation group 3-10,dataset not reused,high confidence","TreeBase,WoS,citation group 3-10,dataset not reused,high confidence",September,3,231,,ADAC-CRYPTOGAMIE,,{\^{}\^{}10026\_3-10\^{}\^{}Type studies of corticioid Hymenomycetes described by Bresadola},,,29,2008,3,14.08695652,1,
,citation group 30-100, 30-100,high confidence,,dataset not reused,,,TreeBase,WoS,"The arabidopsis gene LEAFY controls the induction of flowering and maintenance of the floral meristem identity. By comparing the primary structure of LEAFY and its homologs in other Brassicaceae species and beyond this family, we singled out four clusters corresponding to three systematically remote families of angiosperms, Brassicaceae, Solanaceae, and Poaceae, and to gymnosperms. Both structural and functional distinctions of LEAFY homologs from their arabidopsis prototype expanded in the range Brassicaceae-Solanaceae-Poaceae. A LEAFY homolog from B. juncea cloned in our laboratory was used as a hybridization probe to analyze the restriction fragment length polymorphism in six Brassica species comprising diploid (AA, BB, and CC) and allotetraploid (AABB, AACC, and BBCC) genomes. In this way we recognized LEAFY fragments specific of genomes A, B, and C; in contrast, the variations of the length and structure of the LEAFY intron 2 were not genome-specific. LEAFY polymorphism in the Brassica accessions comprising genome B was related to their geographic origin and apparently to the adaptation to day length.","Russian Acad Agr Sci, All Russia Res Inst Agr Biotechnol, Moscow 127550, Russia; NEW YORK; C/O KLUWER ACADEMIC-PLENUM PUBLISHERS, 233 SPRING ST, NEW YORK, NY 10013-1578 USA","; data\_id:S1375; data\_collection\_article:Oh, S. and D. Potter, Molecular phylogenetic systematics and biogeography of tribe Neillieae (Rosaceae) using DNA sequennces of cpDNA, rDNA, and LEAFy. American Journal of Botany, 2005. 92: p. 179-192.",,S1375,,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Russ. J. Plant Physiol./Vorobiev et al./Vorobiev et al. - 2005 - 10030\_30-100Polymorphism of the LEAFY gene in Brassica plants.pdf:pdf,,,ISI:000233618200015,Russ. J. Plant Physiol.,"Article,Brassica,LEAFY,TreeBase,WoS,citation group 30-100,dataset not reused,day l,geographic origin,high confidence","TreeBase,WoS,citation group 30-100,dataset not reused,high confidence",,6,814,,MAIK NAUKA/INTERPERIODICA,,{\^{}\^{}10030\_30-100\^{}\^{}Polymorphism of the LEAFY gene in Brassica plants},,,52,2005,31,14.08695652,1,
,citation group 30-100, 30-100,high confidence,,dataset not reused,,,TreeBase,WoS,"In the conifer genus Juniperus (Cupressaceae), many species are increasing rapidly in distribution, abundance, and dominance in and and semiarid regions. To help understand the success of junipers in drier habitats, we studied hydraulic traits associated with their water stress resistance, including vulnerability to xylem cavitation, specific conductivity (K-S), tracheid diameter, conduit reinforcement, and wood density in stems and roots, as well as specific leaf area (SLA) of 14 species from the United States and the Caribbean. A new phylogeny based on DNA sequences tested the relationships between vulnerability to cavitation and other traits using both traditional cross-species correlations and independent contrast correlations. All species were moderately to highly resistant to water-stress-induced cavitation in both roots and shoots. We found strong phylogenetic support for two clades previously based on leaf margin serration (serrate and smooth). Species in the serrate clade were 34-39\% more resistant to xylem cavitation in stems and roots than were species in the smooth clade and had similar to 35\% lower K-S and 39\% lower SLA. Root and stem resistance to cavitation and SLA were all highly conserved traits. A high degree of conservation within clades suggests that hydraulic traits of Juniperus species strongly reflect phylogenetic history. The high resistance to cavitation observed may help explain the survival of junipers during recent extreme droughts in the southwestern United States and their expansion into and habitats across the western and central United States.","[Willson, Cynthia J.; Manos, Paul S.; Jackson, Robert B.] Duke Univ, Dept Biol, Durham, NC 27708 USA; [Jackson, Robert B.] Duke Univ, Nicholas Sch Environm \& Earth Sci, Durham, NC 27708 USA; ST LOUIS; PO BOX 299, ST LOUIS, MO 63166-0299 USA","; data\_id:S1375; data\_collection\_article:Oh, S. and D. Potter, Molecular phylogenetic systematics and biogeography of tribe Neillieae (Rosaceae) using DNA sequennces of cpDNA, rDNA, and LEAFy. American Journal of Botany, 2005. 92: p. 179-192.",,S1375,10.3732/ajb.95.3.299,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Am. J. Bot./Willson, Manos, Jackson/Willson, Manos, Jackson - 2008 - 10006\_30-100Hydraulic traits are influenced by phylogenetic history in the drought-resistant, invasive genus Juniperus (Cupressaceae).pdf:pdf",,,ISI:000253999600006,Am. J. Bot.,"Article,Juniperus,TreeBase,WoS,citation group 30-100,dataset not reused,high confidence,juniper,phylogeny,vulnerabil","TreeBase,WoS,citation group 30-100,dataset not reused,high confidence",March,3,299,,BOTANICAL SOC AMER INC,,"{\^{}\^{}10006\_30-100\^{}\^{}Hydraulic traits are influenced by phylogenetic history in the drought-resistant, invasive genus Juniperus (Cupressaceae)}",,,95,2008,31,14.08695652,1,
,citation group 30-100, 30-100,high confidence,,dataset not reused,,,TreeBase,WoS,"China contains some of the world's greatest diversity of Apiaceae (Umbelliferae), with ten endemic genera. Our previous investigation into the phylogenetic relationships of Chinese Apiaceae subfamily Apioideae, based exclusively on nrDNA ITS sequences, revealed several major clades heretofore unrecognized in the subfamily and confirmed the phylogenetic placements of five endemic genera. To further elucidate relationships among Chinese Apioideae, ascertain the phylogenetic placements of the remaining endemic genera, and test hypotheses of relationships proposed in our earlier study, additional taxa were examined for ITS and, for smaller sets of accessions, cpDNA rpl16 and rps16 intron sequence variation. These ITS and cpDNA data matrices comprised 158 and 131 accessions, respectively, with 110 accessions included in the analysis of combined ITS and cpDNA data. Maximum parsimony and Bayesian analyses of partitioned ITS and chloroplast data sets resulted in highly consistent phylogerries, whereas analyses of combined molecular data resulted in trees of greatest resolution and overall branch support. Two major clades identified in our previous study are recognized at the tribal level: Komarovieae J. Zhou \& S. R. Downie trib. nov. and Chamaesieae J. Zhou \& F. D. Pu trib. nov. The monotypic tribe Chamaesieae represents one of the earliest diverging lineages of subfamily Apioideae in Asia. The Acronema and East Asia clades of previous circumscription are each expanded. Of the five Chinese endemic genera not examined previously, Chaerophyllopsis finds affinity within tribe Scandiceae subtribe Scandicinae, Chuanminshen allies with Changium and Cyclorhiza in tribe Komarovieae, Harrysmithia falls within the Acronema Clade, Melanosciadium embeds in Angelica in tribe Selineae, and Dickinsia is confirmed as a member of Apiaceae subfamily Azorelloideae. The cpDNA-based phylogenies are not sufficiently resolved in their distal portions to elucidate the tribal placement of the endemic genus Nothosmymium, whereas the ITS trees strongly indicate an affinity with tribe Pimpinelleae. The affinities of several Chinese endemic species are also addressed. Peucedanum delavayi, for example, is phylogenetically distant from Sinodielsia and Meeboldia, genera with which it has been allied previously, and shows close affinity to three Chinese species of Ligusticum in tribe Selineae. Aside from providing a framework for taxonomic revisions, the phylogenetic structure recovered in this study for subfamily Apioideae will lay the foundation for future investigations of evolutionary patterns of morphological characters and biogeography. (C) 2009 Elsevier Inc. All rights reserved.","[Zhou, Jing; Gong, Xun; Peng, Hua] Chinese Acad Sci, Kunming Inst Bot, Key Lab Biodivers \& Biogeog, Kunming 650204, Yunnan, Peoples R China; [Zhou, Jing] Chinese Acad Sci, Grad Sch, Beijing 100049, Peoples R China; [Downie, Stephen R.] Univ Illinois, Dept","; data\_id:S1375; data\_collection\_article:Oh, S. and D. Potter, Molecular phylogenetic systematics and biogeography of tribe Neillieae (Rosaceae) using DNA sequennces of cpDNA, rDNA, and LEAFy. American Journal of Botany, 2005. 92: p. 179-192.",,S1375,10.1016/j.ympev.2009.05.029,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Mol. Phylogenet. Evol./Zhou et al./Zhou et al. - 2009 - 10021\_30-100Towards a more robust molecular phylogeny of Chinese Apiaceae subfamily Apioideae Additional evidence from nrDNA ITS and cpDNA intron (rp.pdf:pdf,,,ISI:000269067900006,Mol. Phylogenet. Evol.,"Apiaceae subfamily Apioideae,Article,China,TreeBase,WoS,citation group 30-100,cpDN,dataset not reused,high confidence","TreeBase,WoS,citation group 30-100,dataset not reused,high confidence",October,1,56,,ACADEMIC PRESS INC ELSEVIER SCIENCE,,{\^{}\^{}10021\_30-100\^{}\^{}Towards a more robust molecular phylogeny of Chinese Apiaceae subfamily Apioideae: Additional evidence from nrDNA ITS and cpDNA intron (rpl16 and rps16) sequences},,http://dx.doi.org/10.1016/j.ympev.2009.05.029,53,2009,31,14.08695652,1,
,citation group 10-30, 10-30,high confidence,,dataset not reused,,,TreeBase,WoS,Descriptions and keys are provided for the four species of Annulohypoxylon and 18 species of Hypoxylon now known from the Great Smoky Mountains National Park ill the eastern United States. Eighteen of these are new records for the Park. H. cf. fendleri is found in USA for the first time.,"[Miller, Andrew N.] Illinois Nat Hist Survey, Sect Biodiversity, Champaign, IL 61820 USA; [Rogers, Jack D.] Russian Acad Sci, Inst Biol \& Soil Sci, Far East Branch, Vladivostok 690022, Russia; [Rogers, Jack D.] Washington State Univ, Dept Plant Pathol, Pu","; data\_id:S1379; data\_collection\_article:Hsieh, H.M., Y.M. Ju, and J.D. Rogers, Molecular phylogeny of Hypoxylon and closely related genera. Mycologia, 2005. 97: p. 844-865.",,S1379,,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Fungal Divers./Vasilyeva, Rogers, Miller/Vasilyeva, Rogers, Miller - 2007 - 10012\_10-30Pyrenomycetes of the Great Smoky Mountains National Park. v. Annulohypoxylon and Hypoxylon (Xylariaceae).pdf:pdf",,,ISI:000251811200014,Fungal Divers.,"Article,Ascomycota,Southern Appalachians,TreeBase,WoS,citation group 10-30,dataset not reused,high confidence,taxono","TreeBase,WoS,citation group 10-30,dataset not reused,high confidence",October,1,231,,FUNGAL DIVERSITY PRESS,,{\^{}\^{}10012\_10-30\^{}\^{}Pyrenomycetes of the Great Smoky Mountains National Park. v. Annulohypoxylon and Hypoxylon (Xylariaceae)},,,27,2007,29,14.08695652,1,
,citation group 10-30, 10-30,high confidence,,dataset not reused,,,TreeBase,WoS,"During a survey fungal diversity of xylariaceous fungi in Thailand, a new Nemania species, N. plumbea, was identified. Nemania plumbea is characterized by soft-textured grey stromata on a persistent mat of white hyphae, pale brown ascospores with a short germ-slit on the more convex side. It also produces a Geniculosporium -like anamorph in culture. In order to evaluate its phylogenetic relationships among related species and genera, ITS-5.8S rDNA and RPB2 were analysed separately and simultaneously. Results from the phylogenetic analyses indicate that there is close phylogenetic association between N. plumbea and N. aenea. A preliminary account into the natural grouping of Xylariaceae based on ITS-5.8S rDNA and RPB2 sequences is also discussed. (C) 2007 The British Mycological Society. Published by Elsevier Ltd. All rights reserved.","Univ Hong Kong, Dept Ecol \& Biodivers, Ctr Res Fungal Divers, Hong Kong, Hong Kong, Peoples R China; OXFORD; THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","; data\_id:S1379; data\_collection\_article:Hsieh, H.M., Y.M. Ju, and J.D. Rogers, Molecular phylogeny of Hypoxylon and closely related genera. Mycologia, 2005. 97: p. 844-865.",,S1379,10.1016/j.mycres.2007.01.009,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Mycol. Res./Tang, Jeewon, Hyde/Tang, Jeewon, Hyde - 2007 - 10048\_10-30Phylogenetic relationships of Nemania plumbea sp nov and related taxa based on ribosomal ITS and RPB2 sequences.pdf:pdf",,,ISI:000248010000003,Mycol. Res.,"Article,Sordariomycetes,TreeBase,WoS,X,citation group 10-30,dataset not reused,high confidence,molecular systematics","TreeBase,WoS,citation group 10-30,dataset not reused,high confidence",April,,392,,ELSEVIER SCI LTD,,{\^{}\^{}10048\_10-30\^{}\^{}Phylogenetic relationships of Nemania plumbea sp nov and related taxa based on ribosomal ITS and RPB2 sequences},,http://dx.doi.org/10.1016/j.mycres.2007.01.009,111,2007,29,14.08695652,1,
,citation group 1-3, 1-3,high confidence,,dataset not reused,,,TreeBase,WoS,"Dying-arm disease in grapevines, produced by infection with the ascomycete Eutypa lata, is responsible for major production losses in vineyards. Dieback of the shoots and cordon is believed to be due to acetylenic phenol metabolites produced by the fungus. To identify specific metabolites that could potentially be used for diagnosis of infection, eight E lata isolates were grown in vitro on hot water extracts from grape varieties with various degrees of tolerance to the foliar symptoms of E lata dieback. HPLC analysis showed that eutypinol was consistently produced in large amounts, together with smaller amounts of methyleutypinol and eulatachromene; eutypine, the putative toxin, was produced solely on Sauvignon Blanc extract and then in only barely detectable amounts. When E lata isolates from Cabernet Sauvignon and Merlot were grown on identical media, the amounts of metabolites produced differed significantly between isolates but the pattern of metabolites was quite similar, with eutypinol again predominating. The consistent production of eutypinol indicated that this was the most suitable metabolite for which to analyze in order to diagnose the presence of E lata. Extraction and analysis of grapevine tissues exhibiting symptoms of dieback failed to show the presence of any metabolites. However, when infected cordon sections were placed in water and cultured for 5 days, eutypinol was readily detected in the aqueous solution; metabolites were not produced from uninfected tissue. This provides a method for detection of infected tissue and indicates that the toxic metabolites react at the point of production, disrupting the vascular structure and inhibiting transport of nutrients, rather than being translocated to tissues that exhibit symptoms.","USDA, ARS, Western Reg Res Ctr, Albany, CA 94710 USA; Univ Calif Davis, Dept Plant Pathol, Davis, CA 95616 USA; WASHINGTON; 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","; data\_id:S1385; data\_collection\_article:Rolshausen P., Mahoney N., Molyneux R., \& Gubler W. 2005. A re-assessment of the species concept in Eutypa lata, the causal agent of Eutypa dieback of grapevine. Phytopathology, null.",,S1385,10.1021/jf0510236,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/J. Agric. Food Chem./Mahoney et al./Mahoney et al. - 2005 - 10018\_1-3Dying-arm disease in grapevines Diagnosis of infection with Eutypa Iata by metabolite analysis.pdf:pdf,,,ISI:000232611900008,J. Agric. Food Chem.,"Article,Eutypa Iata,TreeBase,Vitis vinifera,WoS,citation group 1-3,dataset not reused,dieb,grapes,high confidence","TreeBase,WoS,citation group 1-3,dataset not reused,high confidence",October,21,8148,,AMER CHEMICAL SOC,,{\^{}\^{}10018\_1-3\^{}\^{}Dying-arm disease in grapevines: Diagnosis of infection with Eutypa Iata by metabolite analysis},,http://dx.doi.org/10.1021/jf0510236,53,2005,1,14.08695652,1,
,citation group 30-100, 30-100,high confidence,,dataset not reused,,,TreeBase,WoS,,"[Asher, Robert J.] Univ Cambridge, Dept Zool, Cambridge CB2 3EJ, England; [Geisler, Jonathan H.] Georgia So Univ, Dept Geol \& Geog, Statesboro, GA 30460 USA; [Sanchez-Villagra, Marcelo R.] Univ Zurich, Palaeontol Inst \& Museum, CH-8006 Zurich, Switzerland","; data\_id:S1389; data\_collection\_article:Poux C., Chevret P., Huchon D., Jong W., \& Douzery E. 2005. Arrival and diversification of caviomorph rodents and platyrrhine primates in South America. Systematic Biology, 54: 719.",,S1389,10.1080/10635150802033022,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Syst. Biol./Asher, Geisler, Sanchez-Villagra/Asher, Geisler, Sanchez-Villagra - 2008 - 10042\_30-100Morphology, paleontology, and placental mammal phylogeny.pdf:pdf",,,ISI:000255690200011,Syst. Biol.,"Article,CRANIAL OSTEOLOG,DEVELOPMENTAL SEQUENCES,TreeBase,WoS,citation group 30-100,dataset not reused,high confidence","TreeBase,WoS,citation group 30-100,dataset not reused,high confidence",,2,311,,TAYLOR \& FRANCIS INC,,"{\^{}\^{}10042\_30-100\^{}\^{}Morphology, paleontology, and placental mammal phylogeny}",,http://dx.doi.org/10.1080/10635150802033022,57,2008,53,14.08695652,1,
